timesteps,episode,ep_return,ep_len,rollout_ep_rew_mean_100,rollout_ep_len_mean_100,success,final_dist,path_len,straight_dist,path_eff,reverse_ratio,heading_abs_mean,action_smooth_mean
12750,62,11.797140795039013,75,-2.494071878095885,202.38095238095238,1,0.17986427082655615,2.385852189688012,2.486349320743973,1.0421221111225263,0.0,0.17202332139472568,0.37439810029054815
12831,63,10.871014940203167,81,-2.285242396559962,200.484375,1,0.1796258070605345,1.9728838365757837,1.5869758439271173,0.8043939610157363,0.0,0.5391265512529857,0.38737468133913355
12874,64,10.841456025606021,43,-2.083293190065101,198.06153846153848,1,0.19198109407046146,1.1743101829197258,1.2887410595283437,1.0974451880542369,0.0,0.275905304180467,0.393957798058788
13124,65,-5.766354631516151,250,-2.1390971512992074,198.84848484848484,0,1.305879168158124,7.243854843283775,2.10214693250379,0.29019727451507676,0.0,1.4242488211294377,0.3808284470611383
13202,66,8.003485770430416,78,-1.9877153166465267,197.044776119403,1,0.17931851546005423,2.000665832334199,0.26761896579651095,0.1337649503836815,0.0,1.5744385022011413,0.3453104097468706
13267,67,11.297372442902997,65,-1.7923463790060925,195.10294117647058,1,0.19574553515408233,1.8723635947098944,1.8919153509163078,1.0104422860290887,0.0,0.36345066475255927,0.4350112834654283
13380,68,12.3834797157906,113,-1.586899624009039,193.91304347826087,1,0.17856238389226953,3.205203007953242,3.251413927017827,1.0144174702662887,0.0,0.24123107820891246,0.36844427526063683
13468,69,11.581526966299862,88,-1.3987792441474831,192.4,1,0.17570444039379507,2.674161083728541,2.38282304563713,0.891054417079018,0.0,0.33251830971139557,0.33227003286539136
13701,70,8.436810369406885,233,-1.2602498129706612,192.9718309859155,1,0.1812804003888278,6.698667810962072,2.5189594582396166,0.3760388676264035,0.0,1.1878429149709913,0.3660457119995985
13909,71,8.404356418119278,208,-1.1260191708721896,193.18055555555554,1,0.1897118489826518,5.822583907272205,2.505834387895267,0.4303646676118428,0.0,1.0435383145831523,0.34811520142084806
14156,72,7.449578658508472,247,-1.0085452280039615,193.91780821917808,1,0.18730829747174196,6.840827122866178,2.7165983958074533,0.3971154872086944,0.0,1.1364644372991852,0.3656646462301231
14406,73,-0.11662395913117507,250,-0.9964922378840589,194.67567567567568,0,0.38465358109711417,7.262502785469409,4.431991326720405,0.610256747245288,0.0,0.8611299019699082,0.3345011758270213
14545,74,12.366972223477205,139,-0.8183127117325755,193.93333333333334,1,0.18608359638199415,4.380743501964026,3.6460678360439327,0.8322942976253427,0.0,0.4232960933367016,0.38559443079798983
14645,75,12.403940401505679,100,-0.6443356970847036,192.69736842105263,1,0.19832982298247273,3.166478888783604,3.2791666091632923,1.0355877061991015,0.0,0.18286866852112346,0.4118366355471539
14701,76,11.059030700940639,56,-0.49234392568177715,190.92207792207793,1,0.1809575240536386,1.6125218052824497,1.5915456143227824,0.9869916853893377,0.0,0.45824036148845765,0.3983394285198301
14853,77,12.972132486807823,152,-0.31972243321396177,190.42307692307693,1,0.19214442291321696,4.6059103596839135,4.162453838365519,0.903720114659629,0.0,0.38721561752399175,0.4108404276664338
14994,78,12.354403734672815,141,-0.15929045640526837,189.79746835443038,1,0.19708120221523068,4.122971173259431,3.443917217937003,0.8352998537252445,0.0,0.6291305443964992,0.4282154204390411
15244,79,-3.338128965551732,250,-0.19902593776959918,190.55,0,0.37652201633560606,6.978338044747941,2.6010656300071298,0.3727342546789851,0.0,1.1938143021253464,0.3220183618402251
15467,80,5.096722351750941,223,-0.13364632925699993,190.9506172839506,1,0.1713420487237271,6.251974386506477,1.1764296345336516,0.18816929849756237,0.0,1.385508985704841,0.28942724125698915
15544,81,11.560060173040256,77,0.008959847600283687,189.5609756097561,1,0.1958229049060453,2.183149834023788,2.223896683245385,1.0186642476785461,0.0,0.24374368424724488,0.3944984891844031
15657,82,12.3912458778359,113,0.158144016639267,188.63855421686748,1,0.1933541006356517,3.1237358179176216,3.2547228481624755,1.0419328131058707,0.0,0.1666665603943113,0.3944461717785868
15804,83,12.697704183708993,147,0.3074244948186685,188.14285714285714,1,0.18837131803675738,4.574630231183253,3.9681142039995616,0.8674174749580115,0.0,0.43916498079561844,0.343651126315881
15862,84,11.375004549976438,58,0.4376313189969952,186.61176470588236,1,0.17557603633828248,1.8810625107493257,1.9546533287010726,1.0391219417383593,0.0,0.2651232578604516,0.35441734891776977
15891,85,10.5382832698524,29,0.5550807602860115,184.77906976744185,1,0.17838687135437845,0.7815662001958116,0.8854811699982852,1.1329573486883633,0.0,0.3782481598017525,0.35061920673719477
15980,86,12.007953576976433,89,0.6867229765698095,183.67816091954023,1,0.1740027531770029,2.6942405690439055,2.7594173908092956,1.0241911663398786,0.0,0.25435752552942775,0.43281754618510604
16055,87,10.969549755682237,75,0.8035732808779052,182.4431818181818,1,0.18837405108340954,2.347404232836561,1.819699944178036,0.7751966698889109,0.0,0.6446203784557604,0.37362823288925495
16173,88,12.702022245386615,118,0.9372637186813739,181.7191011235955,1,0.1971533630638402,3.9998926903936085,3.753738539168598,0.9384598112303888,0.0,0.2557580364082941,0.3769789051431685
16309,89,10.871722557232715,136,1.0476465946652778,181.2111111111111,1,0.18639653110185336,3.9845926023786875,2.4253958562377425,0.6086935599864967,0.0,0.8496280871571043,0.360576467388482
